timestamp,market_ticker,event_ticker,sport,side,strategy,entry_price,exit_price,peak_price,contracts,entry_fee,exit_fee,pnl_gross,pnl_net,win,exit_reason,age_seconds,price_range,is_bot
2026-03-17T04:22:48.939122+00:00,KXNBAGAME-26MAR16SASLAC-SAS,KXNBAGAME-26MAR16SASLAC,,no,watcher_value_fade,5,3,8,20,0.02,0.02,-0.4,-0.44,0,Stop loss: 3c <= 3c (entry=5c),1267,5-14,1
2026-03-17T04:28:54.216123+00:00,KXATPMATCH-26MAR16VUKHAR-HAR,KXATPMATCH-26MAR16VUKHAR,TennisMATCH,yes,exit_stale_tennis_underdog,30,28,30,4,0.02,0.02,-0.08,-0.12,0,"Stale: 1000s, 2c move, PNL=$-0.12",1000,25-34,1
2026-03-17T04:32:53.906892+00:00,KXNBAGAME-26MAR16SASLAC-SAS,KXNBAGAME-26MAR16SASLAC,,no,watcher_value_fade,6,1,8,20,0.02,0.01,-1.0,-1.03,0,Stop loss: 1c <= 4c (entry=6c),555,5-14,1
2026-03-17T04:32:54.368176+00:00,KXNBASPREAD-26MAR16SASLAC-SAS2,KXNBASPREAD-26MAR16SASLAC,,no,watcher_value_fade,5,1,5,20,0.02,0.01,-0.8,-0.83,0,Stop loss: 1c <= 3c (entry=5c),133,5-14,1
2026-03-17T13:14:37.860220+00:00,KXNBAREB-26MAR17MIACHA-CHALBALL1-5,KXNBAREB-26MAR17MIACHA,NBAREB,yes,exit_stale_prop_yes,56,55,56,2,0.01,0.01,-0.02,-0.04,0,"Stale: 952s, 1c move, PNL=$-0.04",952,55-64,1
2026-03-17T13:14:38.938251+00:00,KXATPMATCH-26MAR17FERYUN-FER,KXATPMATCH-26MAR17FERYUN,TennisMATCH,yes,exit_stale_tennis_underdog,43,43,43,3,0.02,0.02,0.0,-0.04,0,"Stale: 951s, 0c move, PNL=$-0.04",952,35-44,1
2026-03-17T13:14:40.019320+00:00,KXATPMATCH-26MAR16VUKHAR-HAR,KXATPMATCH-26MAR16VUKHAR,TennisMATCH,yes,exit_stale_tennis_underdog,27,25,27,4,0.02,0.02,-0.08,-0.12,0,"Stale: 950s, 2c move, PNL=$-0.12",952,25-34,1
2026-03-17T13:30:25.267329+00:00,KXWTAMATCH-26MAR17RAKGIB-RAK,KXWTAMATCH-26MAR17RAKGIB,TennisMATCH,yes,exit_stale_tennis_underdog,40,42,42,3,0.02,0.02,0.06,0.02,1,"Stale: 943s, 2c move, PNL=$0.02",944,35-44,1
2026-03-17T13:31:18.053667+00:00,KXNBAREB-26MAR17MIACHA-CHALBALL1-5,KXNBAREB-26MAR17MIACHA,NBAREB,yes,exit_stale_prop_yes,56,55,56,2,0.01,0.01,-0.02,-0.04,0,"Stale: 943s, 1c move, PNL=$-0.04",943,55-64,1
2026-03-17T13:37:31.644820+00:00,KXATPMATCH-26MAR17FERYUN-FER,KXATPMATCH-26MAR17FERYUN,TennisMATCH,yes,exit_stale_tennis_underdog,44,44,44,2,0.01,0.01,0.0,-0.02,0,"Stale: 950s, 0c move, PNL=$-0.02",951,35-44,1
2026-03-17T13:40:07.175624+00:00,KXATPMATCH-26MAR16VUKHAR-HAR,KXATPMATCH-26MAR16VUKHAR,TennisMATCH,yes,exit_stale_tennis_underdog,28,26,28,4,0.02,0.02,-0.08,-0.12,0,"Stale: 947s, 2c move, PNL=$-0.12",947,25-34,1
2026-03-17T13:47:55.311382+00:00,KXNBAREB-26MAR17MIACHA-CHALBALL1-5,KXNBAREB-26MAR17MIACHA,NBAREB,yes,exit_stale_prop_yes,56,55,56,2,0.01,0.01,-0.02,-0.04,0,"Stale: 942s, 1c move, PNL=$-0.04",942,55-64,1
2026-03-17T13:47:56.288419+00:00,KXWTAMATCH-26MAR17RAKGIB-RAK,KXWTAMATCH-26MAR17RAKGIB,TennisMATCH,yes,exit_stale_tennis_underdog,43,43,43,3,0.02,0.02,0.0,-0.04,0,"Stale: 995s, 0c move, PNL=$-0.04",997,35-44,1
2026-03-17T13:48:48.951141+00:00,KXWTAMATCH-26MAR17RAKGIB-RAK,KXWTAMATCH-26MAR17RAKGIB,TennisMATCH,yes,exit_stale_manual,43,41,43,3,0.18,0.02,-0.06,-0.26,0,"Stale: 2047s, 2c move, PNL=$-0.26",2047,35-44,0
2026-03-17T13:56:39.939480+00:00,KXATPMATCH-26MAR16VUKHAR-HAR,KXATPMATCH-26MAR16VUKHAR,TennisMATCH,yes,exit_stale_tennis_underdog,28,27,28,4,0.02,0.02,-0.04,-0.08,0,"Stale: 939s, 1c move, PNL=$-0.08",940,25-34,1
2026-03-17T14:05:12.088771+00:00,KXNBAREB-26MAR17MIACHA-CHALBALL1-5,KXNBAREB-26MAR17MIACHA,NBAREB,yes,exit_stale_prop_yes,56,55,56,2,0.01,0.01,-0.02,-0.04,0,"Stale: 930s, 1c move, PNL=$-0.04",930,55-64,1
2026-03-17T14:13:23.031094+00:00,KXATPMATCH-26MAR17BUSWON-BUS,KXATPMATCH-26MAR17BUSWON,TennisMATCH,yes,exit_stale_tennis_underdog,41,39,41,3,0.02,0.02,-0.06,-0.1,0,"Stale: 1003s, 2c move, PNL=$-0.10",1004,35-44,1
2026-03-17T14:13:24.006731+00:00,KXATPMATCH-26MAR16VUKHAR-HAR,KXATPMATCH-26MAR16VUKHAR,TennisMATCH,yes,exit_stale_manual,28,27,28,4,1.27,0.02,-0.04,-1.33,0,"Stale: 41826s, 1c move, PNL=$-1.33",41827,25-34,0
2026-03-17T14:23:12.914967+00:00,KXNBAREB-26MAR17MIACHA-CHALBALL1-5,KXNBAREB-26MAR17MIACHA,NBAREB,yes,exit_stale_prop_yes,56,55,56,2,0.01,0.01,-0.02,-0.04,0,"Stale: 1027s, 1c move, PNL=$-0.04",1027,55-64,1
2026-03-17T14:30:13.725170+00:00,KXATPMATCH-26MAR16VUKHAR-HAR,KXATPMATCH-26MAR16VUKHAR,TennisMATCH,yes,exit_stale_tennis_underdog,28,26,28,4,0.02,0.02,-0.08,-0.12,0,"Stale: 904s, 2c move, PNL=$-0.12",904,25-34,1
